# Total Pointers Found: 2313
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2313
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
66A0 | __text | 12160 | off_12160 | data_pointer | data_item_size=8
66B4 | __text | 10340 | stru_10340 | struct_pointer | struct_data
66D4 | __text | 66DC | loc_66DC | code_pointer | inside_sub_6410
66D4 | __text | 11398 | off_11398 | data_pointer | data_item_size=8
66E0 | __text | 10C78 | dword_10C78 | data_pointer | data_item_size=4
66E8 | __text | 10C7C | dword_10C7C | data_pointer | data_item_size=4
6720 | __text | 12250 | off_12250 | data_pointer | data_item_size=8
6744 | __text | 10C50 | dword_10C50 | data_pointer | data_item_size=4
674C | __text | 10C54 | dword_10C54 | data_pointer | data_item_size=4
677C | __text | 12200 | off_12200 | data_pointer | data_item_size=8
679C | __text | 67A4 | loc_67A4 | code_pointer | inside_sub_6410
679C | __text | 11368 | off_11368 | data_pointer | data_item_size=8
67A8 | __text | 10C58 | dword_10C58 | data_pointer | data_item_size=4
67B0 | __text | 10C5C | dword_10C5C | data_pointer | data_item_size=4
67E0 | __text | 12210 | off_12210 | data_pointer | data_item_size=8
67F8 | __text | 6800 | loc_6800 | code_pointer | inside_sub_6410
67F8 | __text | 11378 | off_11378 | data_pointer | data_item_size=8
6804 | __text | 10C60 | dword_10C60 | data_pointer | data_item_size=4
680C | __text | 10C64 | dword_10C64 | data_pointer | data_item_size=4
6838 | __text | 12220 | off_12220 | data_pointer | data_item_size=8
6860 | __text | 6868 | loc_6868 | code_pointer | inside_sub_6410
6860 | __text | 11380 | off_11380 | data_pointer | data_item_size=8
686C | __text | 10C68 | dword_10C68 | data_pointer | data_item_size=4
6874 | __text | 10C6C | dword_10C6C | data_pointer | data_item_size=4
68B8 | __text | 12230 | off_12230 | data_pointer | data_item_size=8
68D0 | __text | 10C30 | dword_10C30 | data_pointer | data_item_size=4
68D8 | __text | 10C34 | dword_10C34 | data_pointer | data_item_size=4
6908 | __text | 121C0 | off_121C0 | data_pointer | data_item_size=8
6920 | __text | 6928 | loc_6928 | code_pointer | inside_sub_6410
6920 | __text | 11330 | off_11330 | data_pointer | data_item_size=8
692C | __text | 10C38 | dword_10C38 | data_pointer | data_item_size=4
6934 | __text | 10C3C | dword_10C3C | data_pointer | data_item_size=4
6970 | __text | 121D0 | off_121D0 | data_pointer | data_item_size=8
6988 | __text | FEF9 | sel_valueForKey: | string_pointer | "valueForKey:"
6988 | __text | 10188 | selRef_valueForKey: | data_pointer | data_item_size=8
6990 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
6990 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
69B0 | __text | 10C40 | dword_10C40 | data_pointer | data_item_size=4
69B8 | __text | 10C44 | dword_10C44 | data_pointer | data_item_size=4
69F4 | __text | 121E0 | off_121E0 | data_pointer | data_item_size=8
6A0C | __text | 6A14 | loc_6A14 | code_pointer | inside_sub_6410
6A0C | __text | 11348 | off_11348 | data_pointer | data_item_size=8
6A18 | __text | 10C48 | dword_10C48 | data_pointer | data_item_size=4
6A20 | __text | 10C4C | dword_10C4C | data_pointer | data_item_size=4
6A5C | __text | 121F0 | off_121F0 | data_pointer | data_item_size=8
6A74 | __text | FE1A | sel_defaultManager | string_pointer | "defaultManager"
6A74 | __text | 10130 | selRef_defaultManager | data_pointer | data_item_size=8
6A7C | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
6A7C | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
6A98 | __text | 10BF0 | dword_10BF0 | data_pointer | data_item_size=4
6AA0 | __text | 10BF4 | dword_10BF4 | data_pointer | data_item_size=4
6AE4 | __text | 12120 | off_12120 | data_pointer | data_item_size=8
6B00 | __text | 6AFC | loc_6AFC | code_pointer | inside_sub_6410
6B00 | __text | 11390 | off_11390 | data_pointer | data_item_size=8
6B0C | __text | 10C70 | dword_10C70 | data_pointer | data_item_size=4
6B14 | __text | 10C74 | dword_10C74 | data_pointer | data_item_size=4
6B48 | __text | 12240 | off_12240 | data_pointer | data_item_size=8
6B60 | __text | 6B68 | loc_6B68 | code_pointer | inside_sub_6B60
6B60 | __text | 11280 | off_11280 | data_pointer | data_item_size=8
6B6C | __text | 10BE0 | dword_10BE0 | data_pointer | data_item_size=4
6B74 | __text | 10BE4 | dword_10BE4 | data_pointer | data_item_size=4
6BA4 | __text | 12100 | off_12100 | data_pointer | data_item_size=8
6BBC | __text | 6BC4 | loc_6BC4 | code_pointer | inside_sub_6BB8
6BBC | __text | 11308 | off_11308 | data_pointer | data_item_size=8
6BC8 | __text | 10C28 | dword_10C28 | data_pointer | data_item_size=4
6BD0 | __text | 10C2C | dword_10C2C | data_pointer | data_item_size=4
6C10 | __text | 121A0 | off_121A0 | data_pointer | data_item_size=8
6C2C | __text | 121B0 | off_121B0 | data_pointer | data_item_size=8
6C54 | __text | 6C5C | loc_6C5C | code_pointer | inside_sub_6C40
6C54 | __text | 11288 | off_11288 | data_pointer | data_item_size=8
6C60 | __text | 10BE8 | dword_10BE8 | data_pointer | data_item_size=4
6C68 | __text | 10BEC | dword_10BEC | data_pointer | data_item_size=4
6CC0 | __text | 10190 | classRef_NSFileManager | data_pointer | data_item_size=8
6CC0 | __text | 12F50 | _OBJC_CLASS_$_NSFileManager | unknown_pointer | 
6CC4 | __text | 12110 | off_12110 | data_pointer | data_item_size=8
7360 | __text | 7368 | loc_7368 | code_pointer | inside_sub_6CD8
7360 | __text | 11270 | off_11270 | data_pointer | data_item_size=8
736C | __text | 10BD8 | dword_10BD8 | data_pointer | data_item_size=4
7374 | __text | 10BDC | dword_10BDC | data_pointer | data_item_size=4
7A30 | __text | 120F0 | off_120F0 | data_pointer | data_item_size=8
7A70 | __text | 10C80 | dword_10C80 | data_pointer | data_item_size=4
7A78 | __text | 10C84 | dword_10C84 | data_pointer | data_item_size=4
7AB4 | __text | 12260 | off_12260 | data_pointer | data_item_size=8
7AC4 | __text | 12EF8 | unk_12EF8 | unknown_pointer | 
7AFC | __text | 10D10 | dword_10D10 | data_pointer | data_item_size=4
7B04 | __text | 10D14 | dword_10D14 | data_pointer | data_item_size=4
7B40 | __text | 123C0 | off_123C0 | data_pointer | data_item_size=8
7B58 | __text | 7B60 | loc_7B60 | code_pointer | inside_sub_7B58
7B58 | __text | 11528 | off_11528 | data_pointer | data_item_size=8
7B64 | __text | 10D18 | dword_10D18 | data_pointer | data_item_size=4
7B6C | __text | 10D1C | dword_10D1C | data_pointer | data_item_size=4
7BAC | __text | 123D0 | off_123D0 | data_pointer | data_item_size=8
7BC0 | __text | 10480 | stru_10480 | struct_pointer | struct_data
7BD8 | __text | 10C90 | dword_10C90 | data_pointer | data_item_size=4
7BE0 | __text | 10C94 | dword_10C94 | data_pointer | data_item_size=4
7C1C | __text | 12290 | off_12290 | data_pointer | data_item_size=8
7C2C | __text | 101C0 | unk_101C0 | unknown_pointer | 
7C34 | __text | 10210 | asc_10210 | string_pointer | string_literal
7C3C | __text | 103E0 | unk_103E0 | unknown_pointer | 
7C44 | __text | 10410 | aOEE | string_pointer | "钤뷔쉏길錝ᡷỞ䇪뼣ἥ碕ޭ㉺嶭ⅵጚ"
7C4C | __text | 10372 | unk_10372 | unknown_pointer | 
7C54 | __text | 1037C | asc_1037C | string_pointer | ""
7C5C | __text | 10390 | unk_10390 | unknown_pointer | 
7C64 | __text | 103B0 | asc_103B0 | string_pointer | "?"
7C6C | __text | 103C2 | unk_103C2 | unknown_pointer | 
7C74 | __text | 103D0 | asc_103D0 | string_pointer | "<"
8154 | __text | 10360 | byte_10360 | data_pointer | data_item_size=1
815C | __text | 10360 | byte_10360 | data_pointer | data_item_size=1
8168 | __text | 10369 | asc_10369 | string_pointer | "؎Ӗ"
8170 | __text | 10369 | asc_10369 | string_pointer | "؎Ӗ"
8174 | __text | 10361 | byte_10361 | data_pointer | data_item_size=1
817C | __text | 1036A | unknown | unknown_pointer | 
8180 | __text | 10362 | byte_10362 | data_pointer | data_item_size=1
8188 | __text | 1036B | unknown | unknown_pointer | 
818C | __text | 10363 | byte_10363 | data_pointer | data_item_size=1
8194 | __text | 1036C | unknown | unknown_pointer | 
8198 | __text | 10364 | byte_10364 | data_pointer | data_item_size=1
81A4 | __text | 1036D | unknown | unknown_pointer | 
81A8 | __text | 10365 | byte_10365 | data_pointer | data_item_size=1
81B4 | __text | 1036E | unknown | unknown_pointer | 
81B8 | __text | 10366 | byte_10366 | data_pointer | data_item_size=1
81C0 | __text | 1036F | unknown | unknown_pointer | 
81C4 | __text | 10367 | byte_10367 | data_pointer | data_item_size=1
