# Total Pointers Found: 30120
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 30120
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
58AC | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
58AC | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5934 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5934 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
59C4 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
59C4 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5A40 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A44 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A44 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5A60 | __text | 56736 | sel_initWithFormat:arguments: | string_pointer | "initWithFormat:arguments:"
5A60 | __text | 6DA40 | selRef_initWithFormat:arguments: | data_pointer | data_item_size=8
5A7C | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A7C | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5A84 | __text | 58FDF | sel_stringWithFormat: | string_pointer | "stringWithFormat:"
5A84 | __text | 6E6B8 | selRef_stringWithFormat: | data_pointer | data_item_size=8
5A8C | __text | 618D8 | cfstr_HttpErrorI | struct_pointer | struct_data
5AAC | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5AAC | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5AB4 | __text | 55C70 | sel_domain | string_pointer | "domain"
5AB4 | __text | 6D750 | selRef_domain | data_pointer | data_item_size=8
5ADC | __text | 56D5C | sel_localizedDescription | string_pointer | "localizedDescription"
5ADC | __text | 6DC30 | selRef_localizedDescription | data_pointer | data_item_size=8
5AF8 | __text | 58EF6 | sel_stringByReplacingOccurrencesOfString:withString: | string_pointer | "stringByReplacingOccurrencesOfString:withString:"
5AF8 | __text | 6E680 | selRef_stringByReplacingOccurrencesOfString:withString: | data_pointer | data_item_size=8
5AFC | __text | 61938 | stru_61938 | struct_pointer | struct_data
5B04 | __text | 61958 | cfstr_Quot | struct_pointer | struct_data
5B24 | __text | 5529E | sel_code | string_pointer | "code"
5B24 | __text | 6D408 | selRef_code | data_pointer | data_item_size=8
5B38 | __text | 618F8 | cfstr_Li | struct_pointer | struct_data
5B5C | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5B88 | __text | 58EF6 | sel_stringByReplacingOccurrencesOfString:withString: | string_pointer | "stringByReplacingOccurrencesOfString:withString:"
5B88 | __text | 6E680 | selRef_stringByReplacingOccurrencesOfString:withString: | data_pointer | data_item_size=8
5B8C | __text | 61878 | stru_61878 | struct_pointer | struct_data
5B94 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5B94 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5B98 | __text | 61938 | stru_61938 | struct_pointer | struct_data
5BA0 | __text | 61958 | cfstr_Quot | struct_pointer | struct_data
5BC8 | __text | 61918 | cfstr_DoctypeHtmlHtm | struct_pointer | struct_data
5BF4 | __text | 5675F | sel_initWithHTML: | string_pointer | "initWithHTML:"
5BF4 | __text | 6DA50 | selRef_initWithHTML: | data_pointer | data_item_size=8
5C10 | __text | 586BF | sel_setStatusCode: | string_pointer | "setStatusCode:"
5C10 | __text | 6E420 | selRef_setStatusCode: | data_pointer | data_item_size=8
5C88 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5C88 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5CC0 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5CC0 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5CF4 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5CF4 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5D24 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5D24 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5D64 | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
5D68 | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
5D74 | __text | 6E938 | classRef_NSMutableDictionary | data_pointer | data_item_size=8
5D74 | __text | 7A0E8 | _OBJC_CLASS_$_NSMutableDictionary | unknown_pointer | 
5D80 | __text | 563C1 | sel_init | string_pointer | "init"
5D80 | __text | 6D960 | selRef_init | data_pointer | data_item_size=8
5D88 | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
5D8C | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
5D98 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5D9C | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5D9C | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
5DA4 | __text | 538ED | sel_new | string_pointer | "new"
5DA4 | __text | 6DCF0 | selRef_new | data_pointer | data_item_size=8
5DB4 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5DB4 | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
5DD8 | __text | 5382D | sel_initWithString: | string_pointer | "initWithString:"
5DD8 | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
5E1C | __text | 54DCA | sel_appendString: | string_pointer | "appendString:"
5E1C | __text | 6D238 | selRef_appendString: | data_pointer | data_item_size=8
5E7C | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
5E84 | __text | 55664 | sel_copy | string_pointer | "copy"
5E84 | __text | 6D510 | selRef_copy | data_pointer | data_item_size=8
5E98 | __text | 5879B | sel_setValue:forKey: | string_pointer | "setValue:forKey:"
5E98 | __text | 6E498 | selRef_setValue:forKey: | data_pointer | data_item_size=8
5EFC | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5F00 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5F00 | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
5F08 | __text | 538ED | sel_new | string_pointer | "new"
5F08 | __text | 6DCF0 | selRef_new | data_pointer | data_item_size=8
5F18 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
5F18 | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
5F3C | __text | 5382D | sel_initWithString: | string_pointer | "initWithString:"
5F3C | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
5F80 | __text | 54DCA | sel_appendString: | string_pointer | "appendString:"
5F80 | __text | 6D238 | selRef_appendString: | data_pointer | data_item_size=8
5FE4 | __text | 55664 | sel_copy | string_pointer | "copy"
5FE4 | __text | 6D510 | selRef_copy | data_pointer | data_item_size=8
5FF8 | __text | 56FC6 | sel_newWithSaltUnsafe: | string_pointer | "newWithSaltUnsafe:"
5FF8 | __text | 6DD08 | selRef_newWithSaltUnsafe: | data_pointer | data_item_size=8
6048 | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
6050 | __text | 5951E | sel_valueForKey: | string_pointer | "valueForKey:"
6050 | __text | 6E840 | selRef_valueForKey: | data_pointer | data_item_size=8
606C | __text | 6E948 | classRef_Obfuscator | data_pointer | data_item_size=8
606C | __text | 6F0D8 | _OBJC_CLASS_$_Obfuscator | struct_pointer | struct_data
6074 | __text | 56FC6 | sel_newWithSaltUnsafe: | string_pointer | "newWithSaltUnsafe:"
6074 | __text | 6DD08 | selRef_newWithSaltUnsafe: | data_pointer | data_item_size=8
60BC | __text | 6E948 | classRef_Obfuscator | data_pointer | data_item_size=8
60BC | __text | 6F0D8 | _OBJC_CLASS_$_Obfuscator | struct_pointer | struct_data
60D8 | __text | 563C1 | sel_init | string_pointer | "init"
60D8 | __text | 6D960 | selRef_init | data_pointer | data_item_size=8
60E8 | __text | 56290 | sel_hashSaltUsingSHA1: | string_pointer | "hashSaltUsingSHA1:"
60E8 | __text | 6D8F0 | selRef_hashSaltUsingSHA1: | data_pointer | data_item_size=8
6110 | __text | 5869A | sel_setSalt: | string_pointer | "setSalt:"
6110 | __text | 6E400 | selRef_setSalt: | data_pointer | data_item_size=8
6140 | __text | 52CDC | sel_hexByObfuscatingString:silence: | string_pointer | "hexByObfuscatingString:silence:"
6140 | __text | 6D900 | selRef_hexByObfuscatingString:silence: | data_pointer | data_item_size=8
616C | __text | 794F0 | _saltDatabase | data_pointer | data_item_size=8
6174 | __text | 5951E | sel_valueForKey: | string_pointer | "valueForKey:"
6174 | __text | 6E840 | selRef_valueForKey: | data_pointer | data_item_size=8
6194 | __text | 6E948 | classRef_Obfuscator | data_pointer | data_item_size=8
6194 | __text | 6F0D8 | _OBJC_CLASS_$_Obfuscator | struct_pointer | struct_data
619C | __text | 56FC6 | sel_newWithSaltUnsafe: | string_pointer | "newWithSaltUnsafe:"
619C | __text | 6DD08 | selRef_newWithSaltUnsafe: | data_pointer | data_item_size=8
61B0 | __text | 52F8F | sel_reveal: | string_pointer | "reveal:"
61B0 | __text | 6E0C0 | selRef_reveal: | data_pointer | data_item_size=8
621C | __text | 5288F | sel_CStringToNSString: | string_pointer | "CStringToNSString:"
621C | __text | 6CFA8 | selRef_CStringToNSString: | data_pointer | data_item_size=8
6234 | __text | 5578D | sel_dataUsingEncoding: | string_pointer | "dataUsingEncoding:"
6234 | __text | 6D570 | selRef_dataUsingEncoding: | data_pointer | data_item_size=8
6268 | __text | 55108 | sel_bytes | string_pointer | "bytes"
6268 | __text | 6D348 | selRef_bytes | data_pointer | data_item_size=8
627C | __text | 57E7D | sel_salt | string_pointer | "salt"
627C | __text | 6E0E0 | selRef_salt | data_pointer | data_item_size=8
62D4 | __text | 56C49 | sel_length | string_pointer | "length"
62D4 | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
6358 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
6358 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
6364 | __text | 5662D | sel_initWithData:encoding: | string_pointer | "initWithData:encoding:"
6364 | __text | 6D9F0 | selRef_initWithData:encoding: | data_pointer | data_item_size=8
63DC | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
63DC | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
63E0 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
63EC | __text | 59032 | sel_substringFromIndex: | string_pointer | "substringFromIndex:"
63EC | __text | 6E6E0 | selRef_substringFromIndex: | data_pointer | data_item_size=8
6408 | __text | 5578D | sel_dataUsingEncoding: | string_pointer | "dataUsingEncoding:"
6408 | __text | 6D570 | selRef_dataUsingEncoding: | data_pointer | data_item_size=8
6438 | __text | 55108 | sel_bytes | string_pointer | "bytes"
6438 | __text | 6D348 | selRef_bytes | data_pointer | data_item_size=8
6448 | __text | 56C49 | sel_length | string_pointer | "length"
6448 | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
646C | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
646C | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
6474 | __text | 58FA2 | sel_stringWithCapacity: | string_pointer | "stringWithCapacity:"
6474 | __text | 6E6A8 | selRef_stringWithCapacity: | data_pointer | data_item_size=8
6494 | __text | 54DBC | sel_appendFormat: | string_pointer | "appendFormat:"
6494 | __text | 6D230 | selRef_appendFormat: | data_pointer | data_item_size=8
6498 | __text | 61978 | cfstr_02x | struct_pointer | struct_data
64C8 | __text | 55664 | sel_copy | string_pointer | "copy"
64C8 | __text | 6D510 | selRef_copy | data_pointer | data_item_size=8
64F0 | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
64F0 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
64F4 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
6538 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
6538 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
6544 | __text | 537C0 | sel_initWithFormat: | string_pointer | "initWithFormat:"
6544 | __text | 6DA38 | selRef_initWithFormat: | data_pointer | data_item_size=8
654C | __text | 61998 | cfstr_S | struct_pointer | struct_data
658C | __text | 56C49 | sel_length | string_pointer | "length"
658C | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
65B0 | __text | 551DC | sel_characterAtIndex: | string_pointer | "characterAtIndex:"
65B0 | __text | 6D3A8 | selRef_characterAtIndex: | data_pointer | data_item_size=8
65FC | __text | 57438 | sel_printHex:WithKey: | string_pointer | "printHex:WithKey:"
65FC | __text | 6DE88 | selRef_printHex:WithKey: | data_pointer | data_item_size=8
6650 | __text | 619B8 | cfstr_Key | struct_pointer | struct_data
665C | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
665C | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
666C | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
666C | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
6678 | __text | 537C0 | sel_initWithFormat: | string_pointer | "initWithFormat:"
6678 | __text | 6DA38 | selRef_initWithFormat: | data_pointer | data_item_size=8
6684 | __text | 619D8 | cfstr_ConstUnsignedC | struct_pointer | struct_data
669C | __text | 5382D | sel_initWithString: | string_pointer | "initWithString:"
669C | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
66BC | __text | 56C49 | sel_length | string_pointer | "length"
66BC | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
66D0 | __text | 54DCA | sel_appendString: | string_pointer | "appendString:"
66D0 | __text | 6D238 | selRef_appendString: | data_pointer | data_item_size=8
66E4 | __text | 551DC | sel_characterAtIndex: | string_pointer | "characterAtIndex:"
66E4 | __text | 6D3A8 | selRef_characterAtIndex: | data_pointer | data_item_size=8
66EC | __text | 53C24 | sel_uppercaseString | string_pointer | "uppercaseString"
66EC | __text | 6E810 | selRef_uppercaseString | data_pointer | data_item_size=8
66F4 | __text | 54DBC | sel_appendFormat: | string_pointer | "appendFormat:"
66F4 | __text | 6D230 | selRef_appendFormat: | data_pointer | data_item_size=8
6704 | __text | 619F8 | stru_619F8 | struct_pointer | struct_data
6728 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
6728 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
673C | __text | 61A18 | cfstr_X | struct_pointer | struct_data
6774 | __text | 61A38 | cfstr_0x | struct_pointer | struct_data
67A0 | __text | 61A58 | cfstr_0x00 | struct_pointer | struct_data
67B8 | __text | 55664 | sel_copy | string_pointer | "copy"
67B8 | __text | 6D510 | selRef_copy | data_pointer | data_item_size=8
6830 | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
6830 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
6834 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
6858 | __text | 55676 | sel_count | string_pointer | "count"
6858 | __text | 6D520 | selRef_count | data_pointer | data_item_size=8
6864 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
6868 | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
686C | __text | 6D528 | selRef_countByEnumeratingWithState:objects:count: | data_pointer | data_item_size=8
6878 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
6878 | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
6880 | __text | 5382D | sel_initWithString: | string_pointer | "initWithString:"
6880 | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
6884 | __text | 61A78 | cfstr_CouldNotObfusc | struct_pointer | struct_data
68AC | __text | 5567C | sel_countByEnumeratingWithState:objects:count: | string_pointer | "countByEnumeratingWithState:objects:count:"
68AC | __text | 6D528 | selRef_countByEnumeratingWithState:objects:count: | data_pointer | data_item_size=8
68D4 | __text | 6D230 | selRef_appendFormat: | data_pointer | data_item_size=8
68D8 | __text | 61A98 | stru_61A98 | struct_pointer | struct_data
68E4 | __text | 54DBC | sel_appendFormat: | string_pointer | "appendFormat:"
68E4 | __text | 6D230 | selRef_appendFormat: | data_pointer | data_item_size=8
6954 | __text | 61AB8 | stru_61AB8 | struct_pointer | struct_data
696C | __text | 6D528 | selRef_countByEnumeratingWithState:objects:count: | data_pointer | data_item_size=8
6970 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
6974 | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
6988 | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
6988 | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
6990 | __text | 5382D | sel_initWithString: | string_pointer | "initWithString:"
6990 | __text | 6DAD0 | selRef_initWithString: | data_pointer | data_item_size=8
6994 | __text | 61878 | stru_61878 | struct_pointer | struct_data
69AC | __text | 6E940 | classRef_NSMutableString | data_pointer | data_item_size=8
69AC | __text | 79BB8 | _OBJC_CLASS_$_NSMutableString | unknown_pointer | 
69D8 | __text | 5567C | sel_countByEnumeratingWithState:objects:count: | string_pointer | "countByEnumeratingWithState:objects:count:"
69D8 | __text | 6D528 | selRef_countByEnumeratingWithState:objects:count: | data_pointer | data_item_size=8
6A08 | __text | 619B8 | cfstr_Key | struct_pointer | struct_data
6A18 | __text | 5708D | sel_objectForKey: | string_pointer | "objectForKey:"
6A18 | __text | 6DD68 | selRef_objectForKey: | data_pointer | data_item_size=8
6A20 | __text | 54DBC | sel_appendFormat: | string_pointer | "appendFormat:"
6A20 | __text | 6D230 | selRef_appendFormat: | data_pointer | data_item_size=8
6A28 | __text | 5709B | sel_objectForKeyedSubscript: | string_pointer | "objectForKeyedSubscript:"
6A28 | __text | 6DD70 | selRef_objectForKeyedSubscript: | data_pointer | data_item_size=8
6A30 | __text | 57438 | sel_printHex:WithKey: | string_pointer | "printHex:WithKey:"
6A30 | __text | 6DE88 | selRef_printHex:WithKey: | data_pointer | data_item_size=8
