# Total Pointers Found: 5573
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 5573
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
4F08 | __text | 380F0 | cfstr_CacheDataIsInv | struct_pointer | struct_data
4F20 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4F40 | __text | 380D0 | cfstr_CacheUuidDoesn | struct_pointer | struct_data
4F98 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4FB4 | __text | 38110 | cfstr_CacheExtraIsMi | struct_pointer | struct_data
4FE0 | __text | 3DC38 | qword_3DC38 | data_pointer | data_item_size=8
4FE4 | __text | 3DC38 | qword_3DC38 | data_pointer | data_item_size=8
5008 | __text | 3D000 | unk_3D000 | unknown_pointer | 
501C | __text | 3C278 | unk_3C278 | unknown_pointer | 
5038 | __text | 50F8 | jpt_5048 | data_pointer | data_item_size=4
506C | __text | 3DC38 | qword_3DC38 | data_pointer | data_item_size=8
5074 | __text | 1C7E0 | stru_1C7E0 | struct_pointer | struct_data
50AC | __text | 3C278 | unk_3C278 | unknown_pointer | 
50D4 | __text | 1C058 | _kCFBooleanFalse_ptr | data_pointer | data_item_size=8
50D8 | __text | 1C058 | _kCFBooleanFalse_ptr | data_pointer | data_item_size=8
50D8 | __text | 3DE18 | _kCFBooleanFalse | data_pointer | data_item_size=8
50E0 | __text | 1C060 | _kCFBooleanTrue_ptr | data_pointer | data_item_size=8
50E4 | __text | 1C060 | _kCFBooleanTrue_ptr | data_pointer | data_item_size=8
50E4 | __text | 3DE20 | _kCFBooleanTrue | data_pointer | data_item_size=8
50F8 | __text | 504C | loc_504C | code_pointer | inside_sub_4FCC
50FC | __text | 5084 | loc_5084 | code_pointer | inside_sub_4FCC
5100 | __text | 5094 | loc_5094 | code_pointer | inside_sub_4FCC
5104 | __text | 505C | def_5048 | code_pointer | inside_sub_4FCC
5108 | __text | 505C | def_5048 | code_pointer | inside_sub_4FCC
510C | __text | 505C | def_5048 | code_pointer | inside_sub_4FCC
5110 | __text | 50CC | loc_50CC | code_pointer | inside_sub_4FCC
5150 | __text | 3C278 | unk_3C278 | unknown_pointer | 
5160 | __text | 3D000 | unk_3D000 | unknown_pointer | 
5184 | __text | 521C | jpt_5194 | data_pointer | data_item_size=4
5204 | __text | 3C278 | unk_3C278 | unknown_pointer | 
521C | __text | 5198 | loc_5198 | code_pointer | inside_sub_511C
5220 | __text | 51B8 | loc_51B8 | code_pointer | inside_sub_511C
5224 | __text | 51C4 | loc_51C4 | code_pointer | inside_sub_511C
5228 | __text | 51A4 | def_5194 | code_pointer | inside_sub_511C
522C | __text | 51A4 | def_5194 | code_pointer | inside_sub_511C
5230 | __text | 51A4 | def_5194 | code_pointer | inside_sub_511C
5234 | __text | 51D8 | loc_51D8 | code_pointer | inside_sub_511C
5260 | __text | 1C078 | _kCFTypeDictionaryKeyCallBacks_ptr | data_pointer | data_item_size=8
5264 | __text | 1C078 | _kCFTypeDictionaryKeyCallBacks_ptr | data_pointer | data_item_size=8
5264 | __text | 3DE38 | _kCFTypeDictionaryKeyCallBacks | unknown_pointer | 
5268 | __text | 1C080 | _kCFTypeDictionaryValueCallBacks_ptr | data_pointer | data_item_size=8
526C | __text | 1C080 | _kCFTypeDictionaryValueCallBacks_ptr | data_pointer | data_item_size=8
526C | __text | 3DE40 | _kCFTypeDictionaryValueCallBacks | unknown_pointer | 
52C8 | __text | 37F70 | cfstr_Mzfuc7qo4purnh | struct_pointer | struct_data
52D8 | __text | 37F90 | cfstr_Cacheversion | struct_pointer | struct_data
52EC | __text | 37FB0 | cfstr_Cachedata | struct_pointer | struct_data
5300 | __text | 37FD0 | cfstr_Cacheextra | struct_pointer | struct_data
5314 | __text | 37FF0 | cfstr_Cacheuuid | struct_pointer | struct_data
531C | __text | 38010 | cfstr_0159961069ed4a | struct_pointer | struct_data
5444 | __text | 3C278 | unk_3C278 | unknown_pointer | 
5468 | __text | 3D000 | unk_3D000 | unknown_pointer | 
54D0 | __text | 3C278 | unk_3C278 | unknown_pointer | 
54DC | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
5504 | __text | 38030 | cfstr_DTotalDCacheab | struct_pointer | struct_data
5518 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5520 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5520 | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
5524 | __text | 3DAE0 | off_3DAE0 | data_pointer | data_item_size=8
553C | __text | 15D23 | aVarMobileLibra | string_pointer | "/var/mobile/Library/Caches/com.apple.MobileGestalt.plist"
55C4 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
55E8 | __text | 38170 | cfstr_IndexDIsIllega | struct_pointer | struct_data
55FC | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
561C | __text | 38130 | cfstr_CacheExtraHasI | struct_pointer | struct_data
5630 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
5650 | __text | 38150 | cfstr_IsNotPrecachea | struct_pointer | struct_data
56A0 | __text | 3D000 | unk_3D000 | unknown_pointer | 
56E4 | __text | 1CB00 | unk_1CB00 | unknown_pointer | 
5708 | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
5710 | __text | 3DC48 | qword_3DC48 | data_pointer | data_item_size=8
571C | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
5728 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
572C | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
572C | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
5730 | __text | 3DAC8 | off_3DAC8 | data_pointer | data_item_size=8
574C | __text | 3C348 | unk_3C348 | unknown_pointer | 
5758 | __text | 3DC50 | unk_3DC50 | unknown_pointer | 
5760 | __text | 58FC | sub_58FC | function_pointer | function_start
5774 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5778 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5778 | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
5780 | __text | 3C348 | unk_3C348 | unknown_pointer | 
57A0 | __text | 3DC48 | qword_3DC48 | data_pointer | data_item_size=8
57A4 | __text | 1C890 | stru_1C890 | struct_pointer | struct_data
57C0 | __text | 15F58 | aDisableGestalt | string_pointer | "DISABLE_GESTALT_DLOPEN"
57D0 | __text | 15F6F | aSourcecacheMob_1 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestalt.c"
57EC | __text | 38270 | cfstr_DisablingExter | struct_pointer | struct_data
5804 | __text | 15FCB | aUsrLibLibmobil | string_pointer | "/usr/lib/libMobileGestaltExtensions.dylib"
5818 | __text | 15FF5 | aMgssetlazyfunc | string_pointer | "_MGSSetLazyFuncs"
582C | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5830 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
5830 | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
5834 | __text | 58B0 | sub_58B0 | function_pointer | function_start
583C | __text | 3C348 | unk_3C348 | unknown_pointer | 
5848 | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
5854 | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
585C | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
5864 | __text | 3DC40 | byte_3DC40 | data_pointer | data_item_size=1
586C | __text | 15F6F | aSourcecacheMob_1 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestalt.c"
