# Fallback to disassembly for 108 functions
# Format: address | function_name | reason | output_file
#================================================================================

0x100578ec0 | sub_100578EC0 | function too large (31440 bytes, limit 16384 bytes) | disassembly/100578EC0.asm
0x1005b5198 | sub_1005B5198 | function too large (29484 bytes, limit 16384 bytes) | disassembly/1005B5198.asm
0x1005c0778 | sub_1005C0778 | function too large (21276 bytes, limit 16384 bytes) | disassembly/1005C0778.asm
0x1005c8e78 | sub_1005C8E78 | function too large (24828 bytes, limit 16384 bytes) | disassembly/1005C8E78.asm
0x1005cf150 | sub_1005CF150 | too many instructions (>3000, limit 3000) | disassembly/1005CF150.asm
0x1006163fc | sub_1006163FC | function too large (20280 bytes, limit 16384 bytes) | disassembly/1006163FC.asm
0x100627174 | sub_100627174 | function too large (21284 bytes, limit 16384 bytes) | disassembly/100627174.asm
0x10063e314 | sub_10063E314 | function too large (24212 bytes, limit 16384 bytes) | disassembly/10063E314.asm
0x100652130 | sub_100652130 | function too large (21188 bytes, limit 16384 bytes) | disassembly/100652130.asm
0x1006581d8 | sub_1006581D8 | function too large (21104 bytes, limit 16384 bytes) | disassembly/1006581D8.asm
0x1006a0074 | sub_1006A0074 | function too large (29620 bytes, limit 16384 bytes) | disassembly/1006A0074.asm
0x1006a8df0 | sub_1006A8DF0 | too many instructions (>3000, limit 3000) | disassembly/1006A8DF0.asm
0x1006b9900 | sub_1006B9900 | function too large (17828 bytes, limit 16384 bytes) | disassembly/1006B9900.asm
0x1006be0f0 | sub_1006BE0F0 | function too large (26432 bytes, limit 16384 bytes) | disassembly/1006BE0F0.asm
0x1006c4994 | sub_1006C4994 | too many instructions (>3000, limit 3000) | disassembly/1006C4994.asm
0x1006caacc | sub_1006CAACC | function too large (17060 bytes, limit 16384 bytes) | disassembly/1006CAACC.asm
0x1006d66ec | sub_1006D66EC | too many instructions (>3000, limit 3000) | disassembly/1006D66EC.asm
0x1006da2a8 | sub_1006DA2A8 | too many instructions (>3000, limit 3000) | disassembly/1006DA2A8.asm
0x1006eeae0 | -[AppDelegate application:didFinishLaunchingWithOptions:] | function too large (381452 bytes, limit 16384 bytes) | disassembly/1006EEAE0.asm
0x100752afc | sub_100752AFC | function too large (32124 bytes, limit 16384 bytes) | disassembly/100752AFC.asm
0x10078ab08 | sub_10078AB08 | too many instructions (>3000, limit 3000) | disassembly/10078AB08.asm
