# Total Pointers Found: 290
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 290
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
6C8C | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C90 | __text | 672C | loc_672C | code_pointer | inside____simple_bprintf
6C94 | __text | 6AA4 | loc_6AA4 | code_pointer | inside____simple_bprintf
6D58 | __text | 64D8 | __flush_reset | function_pointer | function_start
6DB8 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6DBC | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6DBC | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6DC0 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6DEC | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6E68 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6F48 | __text | 7F8A | __h | string_pointer | "0123456789abcdef"
6F50 | __text | 7F79 | __H | string_pointer | "0123456789ABCDEF"
6F9C | __text | 7FAC | __0x | string_pointer | "0x"
702C | __text | 7FAE | unknown | unknown_pointer | 
7104 | __text | 7FAC | __0x | string_pointer | "0x"
7194 | __text | 7FAE | unknown | unknown_pointer | 
7288 | __text | 7F73 | aMb | string_pointer | "MB"
7318 | __text | 7F75 | unknown | unknown_pointer | 
734C | __text | 7F76 | aKb | string_pointer | "KB"
73DC | __text | 7F78 | unknown | unknown_pointer | 
7498 | __text | 7F9B | aPfz | string_pointer | "pfz"
74CC | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
74D0 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
74DC | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7534 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7544 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7570 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7574 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7580 | __text | 8128 | _commpage_pfz_base | data_pointer | data_item_size=8
7AEC | __text | 8130 | ___in_sigtramp | data_pointer | data_item_size=4
7AF0 | __text | 8130 | ___in_sigtramp | data_pointer | data_item_size=4
7AF8 | __text | 8130 | ___in_sigtramp | data_pointer | data_item_size=4
7B1C | __text | 8130 | ___in_sigtramp | data_pointer | data_item_size=4
7B24 | __text | 8130 | ___in_sigtramp | data_pointer | data_item_size=4
7C6C | __stubs | 8020 | __OSSpinLockLockSlow_ptr | import_pointer | import_entry
7C70 | __stubs | 7D8C | sub_7D8C | function_pointer | function_start
7C70 | __stubs | 8020 | __OSSpinLockLockSlow_ptr | import_pointer | import_entry
7C78 | __stubs | 8028 | ___error_ptr | import_pointer | import_entry
7C7C | __stubs | 8028 | ___error_ptr | import_pointer | import_entry
7C7C | __stubs | 8168 | __imp____error | import_pointer | import_entry
7C84 | __stubs | 8030 | ___gettimeofday_ptr | import_pointer | import_entry
7C88 | __stubs | 8030 | ___gettimeofday_ptr | import_pointer | import_entry
7C88 | __stubs | 8170 | __imp____gettimeofday | import_pointer | import_entry
7C90 | __stubs | 8038 | ___sendto_ptr | import_pointer | import_entry
7C94 | __stubs | 8038 | ___sendto_ptr | import_pointer | import_entry
7C94 | __stubs | 8178 | __imp____sendto | import_pointer | import_entry
7C9C | __stubs | 8040 | ___sigreturn_ptr | import_pointer | import_entry
7CA0 | __stubs | 8040 | ___sigreturn_ptr | import_pointer | import_entry
7CA0 | __stubs | 8180 | __imp____sigreturn | import_pointer | import_entry
7CA8 | __stubs | 8048 | _close_ptr | import_pointer | import_entry
7CAC | __stubs | 8048 | _close_ptr | import_pointer | import_entry
