# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
65B8 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
65D4 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
67A4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
67AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
68A4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
68B0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
69D8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
69E0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6B6C | __text | 22018 | _NDR_record | struct_pointer | struct_data
6B74 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6D28 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6D30 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6E50 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6E5C | __text | 22018 | _NDR_record | struct_pointer | struct_data
6FAC | __text | 22018 | _NDR_record | struct_pointer | struct_data
6FB8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
71C4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
71D0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
73C0 | __text | 20000 | _internal_catch_exc_subsystem | data_pointer | data_item_size=8
74AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
74B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
75C4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
75CC | __text | 22018 | _NDR_record | struct_pointer | struct_data
75E4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
75EC | __text | 22018 | _NDR_record | struct_pointer | struct_data
7764 | __text | 22018 | _NDR_record | struct_pointer | struct_data
776C | __text | 22018 | _NDR_record | struct_pointer | struct_data
7784 | __text | 22018 | _NDR_record | struct_pointer | struct_data
778C | __text | 22018 | _NDR_record | struct_pointer | struct_data
77FC | __text | 20000 | _internal_catch_exc_subsystem | data_pointer | data_item_size=8
7820 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7828 | __text | 22018 | _NDR_record | struct_pointer | struct_data
79B8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
79C0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7AC4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7ACC | __text | 22018 | _NDR_record | struct_pointer | struct_data
7C94 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7C9C | __text | 22018 | _NDR_record | struct_pointer | struct_data
7E04 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7E0C | __text | 22018 | _NDR_record | struct_pointer | struct_data
7F24 | __text | 22018 | _NDR_record | struct_pointer | struct_data
7F2C | __text | 22018 | _NDR_record | struct_pointer | struct_data
