# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
6144 | __text | A00D | sel_isEqualToString: | string_pointer | "isEqualToString:"
6144 | __text | E1E8 | selRef_isEqualToString: | data_pointer | data_item_size=8
6148 | __text | C3D0 | cfstr_IphoneXs | struct_pointer | struct_data
615C | __text | C3F0 | cfstr_Iphone112 | struct_pointer | struct_data
616C | __text | C410 | cfstr_IphoneXsMaxInt | struct_pointer | struct_data
6180 | __text | C430 | cfstr_Iphone114 | struct_pointer | struct_data
6190 | __text | C450 | cfstr_IphoneXsMaxChi | struct_pointer | struct_data
61A4 | __text | C470 | cfstr_Iphone116 | struct_pointer | struct_data
61B4 | __text | C490 | cfstr_IphoneXr | struct_pointer | struct_data
61C8 | __text | C4B0 | cfstr_Iphone118 | struct_pointer | struct_data
6224 | __text | B8E3 | aHwMachine | string_pointer | "hw.machine"
6244 | __text | 9FB5 | sel_bundleIdentifier | string_pointer | "bundleIdentifier"
6244 | __text | E1B8 | selRef_bundleIdentifier | data_pointer | data_item_size=8
6258 | __text | 9FC6 | sel_fakeDeviceModuleSwitch | string_pointer | "fakeDeviceModuleSwitch"
6258 | __text | E1C0 | selRef_fakeDeviceModuleSwitch | data_pointer | data_item_size=8
626C | __text | 9FDD | sel_allBundleIdentifierConfig | string_pointer | "allBundleIdentifierConfig"
626C | __text | E1C8 | selRef_allBundleIdentifierConfig | data_pointer | data_item_size=8
6280 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
6280 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
6294 | __text | C3B0 | cfstr_Un | struct_pointer | struct_data
62B0 | __text | 9FF7 | sel_to: | string_pointer | "to:"
62B0 | __text | E1D0 | selRef_to: | data_pointer | data_item_size=8
62C8 | __text | A006 | sel_length | string_pointer | "length"
62C8 | __text | E1E0 | selRef_length | data_pointer | data_item_size=8
6314 | __text | 9FFB | sel_UTF8String | string_pointer | "UTF8String"
6314 | __text | E1D8 | selRef_UTF8String | data_pointer | data_item_size=8
63F0 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
63F4 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
63F4 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
63FC | __text | A01E | sel_defaultCenter | string_pointer | "defaultCenter"
63FC | __text | E1F0 | selRef_defaultCenter | data_pointer | data_item_size=8
640C | __text | A02C | sel_onOTRApplicationDidBecomeActiveNotification: | string_pointer | "onOTRApplicationDidBecomeActiveNotification:"
